Sec,	Num,	Datetime(utc)
0312,	040,	2017-09-22 23:12:00
0313,	019,	2017-09-22 23:13:00
0314,	037,	2017-09-22 23:14:00
0315,	038,	2017-09-22 23:15:00
0316,	018,	2017-09-22 23:16:00
0317,	041,	2017-09-22 23:17:00
0318,	035,	2017-09-22 23:18:00
0319,	019,	2017-09-22 23:19:00
0320,	077,	2017-09-22 23:20:00
0321,	023,	2017-09-22 23:21:00
0322,	017,	2017-09-22 23:22:00
0323,	025,	2017-09-22 23:23:00
0324,	042,	2017-09-22 23:24:00
0325,	028,	2017-09-22 23:25:00
0326,	032,	2017-09-22 23:26:00
0327,	026,	2017-09-22 23:27:00
0328,	022,	2017-09-22 23:28:00
0329,	090,	2017-09-22 23:29:00
0330,	017,	2017-09-22 23:30:00
0331,	016,	2017-09-22 23:31:00
0332,	012,	2017-09-22 23:32:00
0333,	027,	2017-09-22 23:33:00
0334,	019,	2017-09-22 23:34:00
0335,	010,	2017-09-22 23:35:00
0336,	010,	2017-09-22 23:36:00
0337,	026,	2017-09-22 23:37:00
0338,	039,	2017-09-22 23:38:00
0339,	036,	2017-09-22 23:39:00
0340,	032,	2017-09-22 23:40:00
0341,	021,	2017-09-22 23:41:00
0342,	016,	2017-09-22 23:42:00
0343,	024,	2017-09-22 23:43:00
0344,	018,	2017-09-22 23:44:00
0345,	015,	2017-09-22 23:45:00
0346,	051,	2017-09-22 23:46:00
0347,	033,	2017-09-22 23:47:00
0348,	033,	2017-09-22 23:48:00
0349,	039,	2017-09-22 23:49:00
0350,	025,	2017-09-22 23:50:00
0351,	031,	2017-09-22 23:51:00
0352,	033,	2017-09-22 23:52:00
0353,	040,	2017-09-22 23:53:00
0354,	021,	2017-09-22 23:54:00
0355,	012,	2017-09-22 23:55:00
0356,	031,	2017-09-22 23:56:00
0357,	049,	2017-09-22 23:57:00
0358,	079,	2017-09-22 23:58:00
0360,	042,	2017-09-23 00:00:00
0361,	049,	2017-09-23 00:01:00
0362,	052,	2017-09-23 00:02:00
0363,	052,	2017-09-23 00:03:00
0364,	054,	2017-09-23 00:04:00
0365,	053,	2017-09-23 00:05:00
0366,	059,	2017-09-23 00:06:00
0367,	044,	2017-09-23 00:07:00
0368,	022,	2017-09-23 00:08:00
0369,	061,	2017-09-23 00:09:00
0370,	106,	2017-09-23 00:10:00
0371,	133,	2017-09-23 00:11:00
0372,	164,	2017-09-23 00:12:00
0373,	062,	2017-09-23 00:13:00
0374,	032,	2017-09-23 00:14:00
0375,	045,	2017-09-23 00:15:00
0376,	041,	2017-09-23 00:16:00
0377,	031,	2017-09-23 00:17:00
